rowid,autonumber,createdat,createdby,updatedat,updatedby,name,title,group_type,created_at_
rowpn6g5ihey,29,2026-06-18T05:14:13.087Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowewxtpqa7w,30,2026-06-18T05:14:16.201Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowr48y0garc,31,2026-06-18T05:14:19.177Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowc0xfyobjo,32,2026-06-18T05:14:22.206Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,156f5553-5eca-4a76-be82-495d453a3d5f,IT,2,
rowcji4rku0q,33,2026-06-18T05:14:25.207Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowydu2s9fxd,34,2026-06-18T05:14:28.234Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row3wh6me0ts,35,2026-06-18T05:14:31.370Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowpo2m4hx5a,36,2026-06-18T05:14:34.338Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowyqdcij5yq,37,2026-06-18T05:14:37.372Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowycnjyl7w0,38,2026-06-18T05:14:40.477Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row0urh4fkst,39,2026-06-18T05:14:43.370Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowbmy42p4x0,40,2026-06-18T05:14:46.422Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowcj08y03lf,41,2026-06-18T05:14:49.449Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row79dqonn63,42,2026-06-18T05:14:52.454Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rownqu0mbq43,43,2026-06-18T05:14:55.599Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,36beedcc-d192-4329-8d32-c20e40bf0888,Human Resources,2,
rowucpmpgpxt,44,2026-06-18T05:14:58.610Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowy7jd4egnj,45,2026-06-18T05:15:02.062Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row10r00pumt,46,2026-06-18T05:15:04.997Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row4butvwi64,47,2026-06-18T05:16:51.291Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowaov8m1o1u,48,2026-06-18T05:16:51.857Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,156f5553-5eca-4a76-be82-495d453a3d5f,IT,2,
rowmfzdycmp4,49,2026-06-18T05:16:52.543Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
row7rwj8ics4,50,2026-06-18T05:16:53.318Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowc19gyoo85,51,2026-06-18T05:16:53.895Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowb1ka56v2z,52,2026-06-18T05:16:54.041Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,156f5553-5eca-4a76-be82-495d453a3d5f,IT,2,
rowspqpy0hq0,53,2026-06-18T05:16:55.394Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
rowhpf3khk3j,54,2026-06-18T05:16:55.495Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowxq2zv88fg,55,2026-06-18T05:16:55.660Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row2l1jg5jg2,56,2026-06-18T05:16:56.095Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
rowkesrbsiqq,57,2026-06-18T05:16:56.588Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowfhfpwan0g,58,2026-06-18T05:16:56.729Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2085e2c9-c235-454f-aea1-8e6fb776b688,Bookkeeping,2,
rowx29ynyaoi,59,2026-06-18T05:16:57.088Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,c530af23-f641-4b03-bb14-bbb3b6854890,E-mail Team,2,
row7vsk0j0xf,60,2026-06-18T05:16:57.590Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,36beedcc-d192-4329-8d32-c20e40bf0888,Human Resources,2,
row4klabeyz5,61,2026-06-18T05:16:57.873Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row943pal5ay,62,2026-06-18T05:16:57.894Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row1ow51fjtm,63,2026-06-18T05:16:58.186Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowr7jwens8x,64,2026-06-18T05:16:58.741Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowpfcpozwko,65,2026-06-18T05:16:58.832Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,156f5553-5eca-4a76-be82-495d453a3d5f,IT,2,
rowsmi7sz6fu,66,2026-06-18T05:16:59.494Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,156f5553-5eca-4a76-be82-495d453a3d5f,IT,2,
rowuyucibf12,67,2026-06-18T05:16:59.794Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
row4dlcy3m4a,68,2026-06-18T05:16:59.901Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
rowo1889f4ke,69,2026-06-18T05:17:00.088Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowa64k7tr51,70,2026-06-18T05:17:00.493Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
row0txj4lxl9,71,2026-06-18T05:17:00.702Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row0z0irole4,72,2026-06-18T05:17:01.504Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
row68k7jyhbv,73,2026-06-18T05:17:01.900Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d47ef17f-0d6b-4e80-8eab-ed24dfe81b5d,operator,2,
